height	weight	age	gender	smokes	alcohol	exercise	ran	pulse1	pulse2	year
173	57.0	18	2	2	1	2	2	86.0	88.0	93
179	58.0	19	2	2	1	2	1	82.0	150.0	93
167	62.0	18	2	2	1	1	1	96.0	176.0	93
195	84.0	18	1	2	1	1	2	71.0	73.0	93
173	64.0	18	2	2	1	3	2	90.0	88.0	93
184	74.0	22	1	2	1	3	1	78.0	141.0	93
162	57.0	20	2	2	1	2	2	68.0	72.0	93
169	55.0	18	2	2	1	2	2	71.0	77.0	93
164	56.0	19	2	2	1	1	2	68.0	68.0	93
168	60.0	23	1	2	1	2	1	88.0	150.0	93
170	75.0	20	1	2	1	1	1	76.0	88.0	93
178	58.0	19	1	2	2	3	2	74.0	76.0	93
170	68.0	22	1	1	1	2	2	70.0	71.0	93
187	59.0	18	1	2	1	1	2	78.0	82.0	93
180	72.0	18	1	2	1	2	2	69.0	67.0	93
185	110.0	22	1	2	1	3	2	77.0	73.0	93
170	56.0	19	1	2	2	3	2	64.0	63.0	93
180	70.0	18	1	2	1	2	1	80.0	146.0	93
166	56.0	21	2	1	2	2	2	83.0	79.0	93
155	50.0	19	2	2	2	2	2	78.0	79.0	93
175	60.0	19	1	2	2	3	2	88.0	86.0	93
140	50.0	34	2	2	2	3	1	70.0	98.0	93
163	55.0	20	2	2	2	3	2	78.0	74.0	93
182	75.0	26	1	1	1	2	2	80.0	76.0	93
176	59.0	19	1	2	2	2	2	68.0	69.0	93
177	74.0	18	2	2	2	2	1	70.0	96.0	93
170	60.0	18	1	2	1	2	2	62.0	59.0	95
172	60.0	21	2	2	2	3	2	81.0	79.0	95
189	60.0	19	1	2	1	2	1	78.0	168.0	95
178	56.0	21	2	2	1	2	1	86.0	150.0	95
175	75.0	20	1	2	1	2	1	59.0	92.0	95
180	85.0	19	1	1	1	2	1	68.0	125.0	95
160	57.0	19	2	2	2	2	1	75.0	130.0	95
164	66.0	23	2	2	2	3	1	74.0	168.0	95
175	65.0	19	1	2	1	2	1	60.0	104.0	95
163	55.0	20	2	2	2	2	1	70.0	119.0	95
185	90.0	18	1	2	2	3	1	80.0	140.0	95
169	68.0	19	1	2	2	2	2	58.0	58.0	95
165	63.0	18	2	2	1	2	2	84.0	84.0	95
155	49.0	18	2	2	1	2	2	104.0	92.0	95
175	66.0	20	1	2	1	2	2	66.0	68.0	95
178	63.0	23	1	2	1	3	2	84.0	90.0	95
184	65.0	21	1	1	2	2	2	65.0	67.0	95
170	60.0	19	2	2	1	2	2	80.0	80.0	95
162	60.0	19	2	2	1	2	2	66.0	60.0	95
164	46.0	18	2	2	2	2	2	104.0	96.0	95
171	70.0	26	2	2	2	2	2	76.0	76.0	95
182	85.0	20	1	1	1	3	2	70.0	68.0	95
174	60.0	19	2	2	1	3	1	66.0	89.0	96
167	70.0	22	1	1	1	3	2	92.0	84.0	96
157	41.0	20	2	2	2	2	1	70.0	95.0	96
183	73.0	20	1	2	1	2	2	63.0	65.0	96
167	75.0	20	2	2	1	2	2	65.0	67.0	96
171	67.0	18	2	2	1	3	2	76.0	74.0	96
182	63.0	20	1	2	1	1	1	56.0	110.0	96
173	70.0	20	1	2	1	1	1	64.0	126.0	96
182	85.0	20	1	2	1	1	2	60.0	56.0	96
158	51.0	18	2	2	2	2	1	68.0	84.0	96
160	49.0	19	2	2	2	3	2	80.0	72.0	96
180	75.0	20	1	2	1	2	1	65.0	82.0	96
180	77.0	18	2	2	2	2	1	47.0	136.0	96
188	87.0	20	1	2	1	1	1	50.0	90.0	96
164	54.0	18	2	2	2	3	2	80.0	76.0	96
180	102.0	20	1	2	1	2	2	76.0	72.0	96
178	62.0	21	1	2	2	3	2	70.0	74.0	96
166	50.0	19	2	2	1	3	1	76.0	132.0	96
175	57.0	20	2	2	1	2	1	72.0	115.0	96
180	80.0	21	1	2	1	2	2	80.0	80.0	96
182	98.0	19	1	2	1	2	1	76.0	150.0	96
151	42.0	22	2	2	2	3	1	85.0	130.0	97
186	87.0	23	1	2	1	1	1	49.0	83.0	97
190	82.0	19	1	2	2	2	2	76.0	73.0	97
179	80.0	20	1	2	1	2	1	145.0	155.0	97
165	48.0	19	2	2	2	3	2	83.0	84.0	97
172	53.0	20	1	2	2	3	1	72.0	136.0	97
173	64.0	20	2	2	1	2	2			97
170	53.5	20	2	2	2	3	2	60.0	62.0	97
170	58.5	20	1	2	2	3	2	80.0	82.0	97
163	51.0	18	2	2	1	3	1	70.0	120.0	97
191	78.0	19	1	2	1	1	1	68.0	136.0	97
172	59.0	18	2	2	1	2	1	78.0	129.0	97
171	71.0	41	1	2	2	3	2	52.0	60.0	97
180	76.0	21	1	2	2	1	2	74.0	72.0	97
194	110.0	25	1	2	2	2	2	75.0	75.0	97
167	63.0	28	1	2	1	2	2	72.0	68.0	97
192	105.0	21	1	2	2	2	2	80.0	73.0	97
194	95.0	18	1	2	1	2	1	84.0	140.0	97
189	88.0	45	1	2	2	2	2	74.0	72.0	97
162	50.0	19	2	2	1	2	1	90.0	160.0	97
175	54.0	18	2	2	1	2	2	61.0	59.0	97
175	78.5	19	1	2	1	3	1	85.0	131.0	97
186	96.0	19	1	2	1	3	1	78.0	132.0	97
178	86.0	21	1	1	1	3	2	76.0	80.0	98
170	58.0	21	1	1	1	2	2	90.0	84.0	98
165	58.0	23	2	2	1	3	2	64.0	68.0	98
164	78.0	28	2	2	2	2	1	64.0	120.0	98
180	65.0	20	1	2	2	2	1	88.0	144.0	98
170	62.0	20	2	2	1	2	2	64.0	64.0	98
155	55.0	20	2	2	1	1	2	82.0	87.0	98
165	60.0	19	2	1	1	3	1	88.0	120.0	98
168	55.0	24	2	2	2	2	2	74.0	70.0	98
68	63.0	19	1	2	2	2	1	88.0	136.0	98
170	63.0	20	2	2	1	3	1	92.0	120.0	98
179	80.0	20	1	2	2	2	1	76.0	168.0	98
163	47.0	23	2	1	1	3	1	71.0	125.0	98
93	27.0	19	2	2	2	3	2	119.0	120.0	98
161	43.0	19	2	2	2	3	2	90.0	89.0	98
182	60.0	22	1	2	1	3	2	86.0	84.0	98
170	65.0	18	1	2	1	1	2	69.0	64.0	98
185	85.0	19	1	2	1	2	2	75.0	68.0	98
